109,66,32
111,34,6
137,78,60
179,127,69
121,29,18
105,47,7
100,3,14
119,9,0
108,11,0
141,66,27
113,22,1
178,127,82
113,58,2
102,37,7
116,48,49
95,26,29
136,104,109
118,86,61
72,3,0
134,60,23
70,7,15
158,100,78
48,1,0
42,6,10
89,0,0
115,38,0
40,25,18
59,3,0
39,0,0
72,1,0
75,3,4
84,11,4
82,20,5
50,0,0
34,0,0
40,0,0
104,16,6
108,11,0
121,50,32
112,8,0
129,19,20
116,34,12
133,61,49
108,16,0
79,12,0
111,21,0
95,6,0
143,67,15
75,12,3
76,8,0
81,19,0
91,14,4
86,20,8
67,0,0
78,1,0
99,8,3
73,3,5
90,0,2
89,0,5
102,13,15
98,25,0
84,22,7
112,16,0
102,33,0
81,9,0
75,0,4
94,2,27
100,32,0
103,8,12
79,10,15
107,0,0
80,20,0
117,45,7
98,11,1
89,13,0
69,12,19
87,12,0
175,99,41
116,18,9
87,15,1
88,16,0
69,9,17
21,0,0
42,7,3
21,0,0
140,69,7
129,59,10
100,23,0
146,68,19
121,53,8
159,86,18
93,47,21
61,20,0
70,7,0
69,5,0
109,46,2
99,10,0
93,0,0
94,7,13
123,71,60
83,19,7
87,15,1
93,28,24
86,13,4
117,47,11
121,65,32
87,11,0
95,38,0
130,71,41
88,5,0
93,11,0
149,81,8
136,60,11
107,15,0
93,6,0
98,37,0
126,84,68
72,20,0
136,103,86
153,63,37
124,35,17
118,47,19
111,65,42
96,22,0
131,66,12
110,20,0
74,32,10
55,11,0
36,10,0
49,12,6
21,0,2
10,13,20
36,0,0
26,0,2
30,0,8
10,13,20
115,9,9
125,16,11
112,8,7
114,7,1
99,13,0
102,5,0
108,9,12
100,5,0
167,76,47
116,5,0
101,10,5
42,11,8
40,3,0
4,15,21
98,21,5
101,26,7
58,10,0
49,0,0
82,26,1
81,17,17
94,0,0
73,21,10
81,24,13
109,55,31
106,44,19
93,10,0
74,4,4
74,15,1
44,0,0
44,0,0
56,0,0
97,24,0
103,6,13
93,0,2
100,0,7
117,15,3
111,16,0
166,109,90
99,11,0
83,16,0
83,15,12
73,13,5
89,14,9
64,1,0
101,41,4
89,8,0
114,17,0
110,19,0
93,14,9
92,4,0
127,56,12
97,31,9
69,7,0
84,27,7
51,0,0
89,15,16
86,13,30
106,51,44
62,2,0
110,11,0
115,41,6
